"","Country","order","popp","incp","uniq","cumpopp","cumincp"
"151","Austria",1,0.1,0.04,1,0,0
"201","Austria",1,0.1,0.06,2,0.1,0.04
"251","Austria",1,0.1,0.07,3,0.2,0.1
"301","Austria",1,0.1,0.08,4,0.3,0.17
"351","Austria",1,0.1,0.09,5,0.4,0.25
"401","Austria",1,0.1,0.1,6,0.5,0.34
"451","Austria",1,0.1,0.11,7,0.6,0.44
"501","Austria",1,0.1,0.12,8,0.7,0.55
"551","Austria",1,0.1,0.14,9,0.8,0.67
"601","Austria",1,0.1,0.2,10,0.9,0.81
"152","Finland",2,0.1,0.04,11,0,0
"202","Finland",2,0.1,0.06,12,0.1,0.04
"252","Finland",2,0.1,0.07,13,0.2,0.1
"302","Finland",2,0.1,0.08,14,0.3,0.17
"352","Finland",2,0.1,0.09,15,0.4,0.25
"402","Finland",2,0.1,0.1,16,0.5,0.34
"452","Finland",2,0.1,0.11,17,0.6,0.44
"502","Finland",2,0.1,0.12,18,0.7,0.55
"552","Finland",2,0.1,0.14,19,0.8,0.67
"602","Finland",2,0.1,0.2,20,0.9,0.81
"153","Czech Republic",3,0.1,0.0463530872984307,21,0,0
"203","Czech Republic",3,0.1,0.0589947477598982,22,0.1,0.0463530872984307
"253","Czech Republic",3,0.1,0.067580351099641,23,0.2,0.105347835058329
"303","Czech Republic",3,0.1,0.0762596554394926,24,0.3,0.17292818615797
"353","Czech Republic",3,0.1,0.0855510067375006,25,0.4,0.249187841597462
"403","Czech Republic",3,0.1,0.094129632343193,26,0.5,0.334738848334963
"453","Czech Republic",3,0.1,0.107486012135276,27,0.6,0.428868480678156
"503","Czech Republic",3,0.1,0.120692869054846,28,0.7,0.536354492813432
"553","Czech Republic",3,0.1,0.141845371419799,29,0.8,0.657047361868278
"603","Czech Republic",3,0.1,0.201107266711922,30,0.9,0.798892733288077
"154","Belarus",4,0.1,0.0436079347856328,31,0,0
"204","Belarus",4,0.1,0.0602401559860197,32,0.1,0.0436079347856328
"254","Belarus",4,0.1,0.0696312229327424,33,0.2,0.103848090771652
"304","Belarus",4,0.1,0.0774648545211876,34,0.3,0.173479313704395
"354","Belarus",4,0.1,0.0858091060080602,35,0.4,0.250944168225583
"404","Belarus",4,0.1,0.0945023300143678,36,0.5,0.336753274233643
"454","Belarus",4,0.1,0.10457738003623,37,0.6,0.43125560424801
"504","Belarus",4,0.1,0.117178090590428,38,0.7,0.535832984284241
"554","Belarus",4,0.1,0.137775994458096,39,0.8,0.653011074874668
"604","Belarus",4,0.1,0.209212930667236,40,0.9,0.790787069332765
"155","Slovak Republic",5,0.1,0.0448972658481251,41,0,0
"205","Slovak Republic",5,0.1,0.0586285367925563,42,0.1,0.0448972658481251
"255","Slovak Republic",5,0.1,0.0683951766408817,43,0.2,0.103525802640681
"305","Slovak Republic",5,0.1,0.0775094510375886,44,0.3,0.171920979281563
"355","Slovak Republic",5,0.1,0.0848089580893243,45,0.4,0.249430430319152
"405","Slovak Republic",5,0.1,0.0932799981216049,46,0.5,0.334239388408476
"455","Slovak Republic",5,0.1,0.104067290604966,47,0.6,0.427519386530081
