"","X","Country","Year","Gini","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","Quality","GDPCap","order"
"2",53,"Austria",2000,23.7,4,6,7,8,9,10,11,12,14,20,1,28773.1297089569,1
"17",364,"Finland",2000,23.7,4,6,7,8,9,10,11,12,14,20,1,25653.1582174473,2
"11",259,"Czech Republic",2000,23.81666,4.63530872984307,5.89947477598982,6.7580351099641,7.62596554394926,8.55510067375006,9.4129632343193,10.7486012135276,12.0692869054846,14.1845371419799,20.1107266711922,3,14993.0287354652,3
"3",75,"Belarus",2000,24.06012,4.36079347856328,6.02401559860197,6.96312229327424,7.74648545211876,8.58091060080602,9.45023300143678,10.457738003623,11.7178090590428,13.7775994458096,20.9212930667236,2,5227.47484810678,4
"41",953,"Slovak Republic",2000,24.33121,4.48972658481251,5.86285367925563,6.83951766408817,7.75094510375886,8.48089580893243,9.32799981216049,10.4067290604966,11.8506438213629,14.2140880500592,20.7766004150731,2,10996.9428101352,5
"42",965,"Slovenia",2000,24.84177,4.10526669697539,5.75966449336219,6.87196849910521,7.6373818272248,8.56530613245518,9.5829715077221,10.6351323390964,11.9021395413087,14.2023227397966,20.7378462229535,1,17474.0549792371,6
"22",491,"Hungary",2000,24.96104,4.00377625200966,5.83900196713919,6.88091605186541,7.74996470905082,8.6616033991086,9.49309670490937,10.4886387233011,11.8045213848698,13.7785260476112,21.2999547601348,1,12265.6451828867,7
"31",756,"Netherlands",2000,25.5,4,6,7,8,9,9,11,12,14,21,1,29402.8096000559,8
"28",672,"Luxembourg",2000,26.2,4,6,7,7,8,9,11,12,14,22,1,53652.2844405615,9
"45",1013,"Sweden",2000,27.2,3.69,5.531,6.533,7.436,8.281,9.274,10.495,12.173,14.44,22.148,1,27961.3483352807,10
"32",806,"Norway",2000,27.4,3.9,5.719,6.603,7.353,8.147,9.089,10.249,11.719,13.851,23.368,1,36130.1222124985,11
"18",382,"France",2000,28.2,4,5,6,7,8,9,11,12,15,22,1,25328.190481286,12
"4",88,"Belgium",2000,29.6,4,5,6,7,8,9,10,11,14,25,1,27611.655020715,13
